H	3	1024	"2023-10-20 15:20:59"	200	0.11
C	-7.382846	1.962241	0.000000	"keV"
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	6
36	36
37	132
38	185
39	186
40	150
41	169
42	152
43	170
44	177
45	136
46	142
47	138
48	122
49	131
50	124
51	131
52	135
53	160
54	132
55	162
56	115
57	135
58	157
59	149
60	172
61	178
62	132
63	152
64	142
65	149
66	140
67	143
68	140
69	144
70	117
71	144
72	162
73	181
74	153
75	161
76	155
77	150
78	152
79	150
80	142
81	158
82	134
83	127
84	141
85	146
86	136
87	124
88	134
89	141
90	141
91	185
92	123
93	152
94	162
95	179
96	163
97	146
98	140
99	146
100	156
101	146
102	148
103	138
104	135
105	146
106	113
107	129
108	121
109	148
110	130
111	94
112	122
113	139
114	120
115	100
116	125
117	111
118	120
119	108
120	108
121	112
122	102
123	105
124	99
125	107
126	104
127	110
128	112
129	85
130	89
131	91
132	98
133	97
134	88
135	85
136	81
137	94
138	74
139	82
140	62
141	90
142	92
143	96
144	88
145	75
146	91
147	76
148	70
149	91
150	84
151	73
152	78
153	72
154	84
155	60
156	66
157	81
158	90
159	87
160	96
161	74
162	72
163	87
164	68
165	85
166	73
167	77
168	66
169	72
170	80
171	81
172	96
173	87
174	82
175	87
176	74
177	89
178	90
179	94
180	118
181	96
182	101
183	95
184	102
185	106
186	88
187	127
188	118
189	120
190	129
191	143
192	137
193	157
194	126
195	150
196	148
197	144
198	143
199	153
200	181
201	143
202	143
203	179
204	131
205	161
206	150
207	141
208	144
209	138
210	128
211	130
212	131
213	134
214	104
215	113
216	90
217	93
218	88
219	86
220	82
221	76
222	89
223	68
224	67
225	69
226	58
227	59
228	62
229	61
230	62
231	48
232	43
233	41
234	51
235	36
236	43
237	48
238	48
239	41
240	29
241	39
242	34
243	32
244	28
245	20
246	22
247	24
248	25
249	39
250	35
251	38
252	31
253	25
254	34
255	23
256	35
257	20
258	31
259	31
260	16
261	17
262	24
263	24
264	22
265	25
266	25
267	30
268	15
269	22
270	19
271	29
272	29
273	17
274	14
275	28
276	19
277	22
278	27
279	17
280	17
281	20
282	21
283	18
284	16
285	19
286	17
287	14
288	19
289	14
290	20
291	15
292	20
293	15
294	22
295	19
296	19
297	17
298	26
299	14
300	25
301	20
302	22
303	32
304	18
305	25
306	30
307	25
308	18
309	27
310	25
311	28
312	25
313	17
314	32
315	32
316	31
317	16
318	35
319	25
320	36
321	35
322	32
323	31
324	35
325	45
326	44
327	40
328	30
329	45
330	44
331	51
332	44
333	57
334	38
335	55
336	57
337	49
338	74
339	77
340	67
341	71
342	72
343	57
344	68
345	68
346	58
347	79
348	59
349	57
350	59
351	44
352	58
353	53
354	35
355	38
356	34
357	39
358	31
359	27
360	19
361	28
362	17
363	23
364	11
365	11
366	8
367	6
368	5
369	10
370	8
371	6
372	4
373	6
374	8
375	8
376	7
377	2
378	4
379	2
380	6
381	6
382	1
383	6
384	8
385	2
386	3
387	4
388	5
389	6
390	2
391	6
392	4
393	4
394	6
395	1
396	4
397	4
398	3
399	4
400	7
401	2
402	3
403	5
404	3
405	9
406	2
407	5
408	2
409	7
410	3
411	6
412	4
413	5
414	3
415	3
416	1
417	4
418	2
419	4
420	4
421	7
422	5
423	1
424	6
425	7
426	4
427	5
428	1
429	5
430	3
431	3
432	7
433	3
434	3
435	6
436	5
437	5
438	3
439	3
440	6
441	1
442	4
443	3
444	7
445	0
446	3
447	4
448	2
449	0
450	4
451	0
452	4
453	3
454	2
455	4
456	3
457	4
458	3
459	3
460	5
461	4
462	2
463	2
464	3
465	5
466	4
467	5
468	1
469	7
470	2
471	5
472	6
473	4
474	5
475	5
476	2
477	3
478	3
479	3
480	5
481	3
482	3
483	5
484	2
485	1
486	1
487	5
488	5
489	4
490	6
491	3
492	3
493	4
494	2
495	5
496	5
497	2
498	3
499	6
500	1
501	4
502	3
503	0
504	1
505	1
506	5
507	3
508	2
509	4
510	1
511	2
512	2
513	5
514	2
515	2
516	6
517	5
518	2
519	3
520	3
