H	3	1024	"2023-10-20 14:42:32"	320	0.64
C	-7.382846	1.962241	0.000000	"keV"
680	98
681	93
682	66
683	70
684	53
685	62
686	54
687	48
688	46
689	44
690	38
691	37
692	36
693	40
694	27
695	18
696	27
697	29
698	15
699	15
700	18
701	20
702	21
703	27
704	20
705	15
706	17
707	16
708	13
709	9
710	17
711	18
712	13
713	15
714	19
715	12
716	11
717	16
718	16
719	13
720	15
721	12
722	14
723	20
724	19
725	16
726	23
727	19
728	19
729	19
730	19
731	19
732	15
733	18
734	14
735	10
736	13
737	29
738	17
739	19
740	21
741	15
742	20
743	21
744	20
745	25
746	14
747	16
748	21
749	17
750	24
751	21
752	28
753	17
754	24
755	17
756	23
757	17
758	19
759	24
760	18
761	26
762	18
763	19
764	17
765	17
766	17
767	16
768	15
769	19
770	19
771	15
772	15
773	16
774	19
775	13
776	15
777	20
778	15
779	25
780	16
781	14
782	22
783	21
784	11
785	15
786	17
787	17
788	16
789	14
790	11
791	15
792	14
793	8
794	6
795	14
796	11
797	11
798	11
799	10
800	12
801	12
802	9
803	7
804	18
805	8
806	7
807	12
808	12
809	12
810	10
811	11
812	5
813	14
814	11
815	10
816	11
817	11
818	8
819	10
820	9
821	8
822	5
823	6
824	7
825	9
826	5
827	7
828	6
829	5
830	5
831	3
832	13
833	5
834	3
835	6
836	11
837	7
838	4
839	6
840	7
841	5
842	4
843	4
844	6
845	2
846	5
847	7
848	5
849	3
850	2
851	6
852	5
853	7
854	4
855	5
856	3
857	2
858	3
859	1
860	2
861	3
862	2
863	5
864	1
865	5
866	2
867	0
868	4
869	1
870	5
871	1
872	3
873	4
874	4
875	8
876	6
877	2
878	9
879	2
880	5
881	2
882	5
883	3
884	1
885	7
886	4
887	4
888	5
889	4
890	2
891	6
892	1
893	8
894	8
895	7
896	6
897	6
898	8
899	7
900	12
901	5
902	13
903	7
904	7
905	8
906	10
907	8
908	9
909	17
910	11
911	15
912	13
913	16
914	15
915	20
916	16
917	27
918	15
919	33
920	19
921	24
922	11
923	28
924	9
925	19
926	18
927	18
928	13
929	20
930	22
931	15
932	23
933	14
934	13
935	20
936	13
937	17
938	12
939	16
940	11
941	15
942	13
943	14
944	5
945	9
946	10
947	6
948	6
949	3
950	6
951	6
952	5
953	7
954	6
955	6
956	8
957	1
958	5
959	2
960	4
961	2
962	4
963	6
964	3
965	5
966	2
967	2
968	1
969	2
970	0
971	2
972	1
973	0
974	2
975	1
976	0
977	0
978	1
979	1
980	3
981	1
982	1
983	0
984	2
985	2
986	1
987	2
988	2
989	0
990	1
991	1
992	0
993	1
994	0
995	0
996	1
997	0
998	0
999	0
1000	1
1001	0
1002	0
1003	1
